Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Total_Sales_Unit,Total_Revenue
11075,26,-0.08290030119441917,10,361,50.518991807756855,57.25569909355185,11.956904513775186,45.00521750340474,52.9730919070612,0.5045681321680682,1.2982113387177783,77,0.2846706743360816,1020,1,52.974331217405066,52.9730919070612
9389,11,-3.6550481180354915,4,361,35.423529704067455,6.825336616377968,21.80118213359814,3.870656277949046,25.652008413203472,,,96,,1696,8,25.64956492514189,25.65200841320347
5613,26,0.2573042527904449,6,361,18.95128278310345,25.06610602301533,12.021669498116127,17.367934180051698,22.602693821313938,0.9350673343754257,2.4573672255206667,80,0.9742086813105324,1020,1,22.60056027030779,22.60269382131393
11077,26,0.42740652978287685,10,361,18.86523373202379,21.429874213195465,10.370162397422144,15.546872875799755,20.826080446802024,0.7915676003063065,2.4573672255206667,77,0.05304292005525836,1020,1,20.824127473529455,20.826080446802024
7392,5,-1.7839230711187393,7,361,13.530192565084702,17.376369900609387,32.84361196372849,5.102550689648891,19.921622728868687,,,96,,1696,8,19.926221441703312,19.921622728868684
9778,5,-2.9746390100657636,5,361,28.19540941337579,4.202480884704621,13.414116661446348,2.853004372631782,19.20451696679297,,,96,,1696,8,19.202728811742677,19.204516966792966
6767,4,-0.08290030119441917,4,361,13.54248528666751,17.873122880092975,20.797324876313564,15.171948489630235,18.90733800232916,1.4373164036173425,2.03585599395598,82,0.4788816375407719,1020,1,18.905580053008848,18.907338002329155
11073,26,-0.08290030119441917,3,361,16.836934670860312,17.952603356810346,9.236775171455687,14.957705983247653,18.338821722485346,-0.786929474454004,0.7713222992619198,63,-0.0592074531731406,1020,1,18.33066180241513,18.338821722485342
6770,26,0.42740652978287685,4,361,17.426985306835142,13.501696660637394,14.96847628562892,11.744068387508928,17.9511969862282,1.2938166695482234,2.8261895531397676,81,0.7693072063698042,1020,1,17.94953622056087,17.951196986228197
2615,11,-3.8251503950279235,8,361,32.78059456376353,0.963651458471626,0.6554147462810729,2.2638374800796828,17.944736573957247,,,96,,1696,8,17.94307646493622,17.944736573957247
6837,4,-0.2530025781868512,9,361,10.801208373701115,21.46961445155415,5.998525954408662,14.4220997172912,15.593146507330573,,,96,,1696,8,15.591725417564161,15.59314650733057
5612,4,-0.2530025781868512,6,361,11.612527998166506,14.5548129771426,13.122674231912116,9.923007083256982,14.649926315771522,1.5808161376864618,1.9831670900103942,83,0.5376794520889809,1020,1,14.648601096365477,14.649926315771518
7379,5,-1.2736162401414433,7,361,10.73974476578707,11.991567603007287,23.06409932824648,3.549292518375173,14.578861780791046,,,96,,1696,8,14.571084028869699,14.578861780791042
11067,26,0.08720197579801285,10,361,10.641402993124597,15.66753965118584,11.406402146877193,11.262022748148118,14.320445289952948,0.7915676003063065,1.9304781860648081,74,-0.028917669921032944,1020,1,14.319153559508406,14.320445289952946
4951,28,0.5975088067753089,3,325,18.115377715472444,9.428322228871968,0.5258847775991917,8.798233924748427,13.745468597838183,-0.5716798733503252,0.9820779150442631,60,-0.10018774816128626,617,1,13.750695064539338,13.745468597838181
11068,26,0.42740652978287685,10,361,10.752037487369877,16.581565133435642,7.941475484636875,9.22671893751359,13.732547773296279,0.7915676003063065,0.3498110676972329,71,-0.19640235378562823,1020,1,13.73777555329004,13.732547773296277
3743,17,1.107815637752605,0,497,8.305785892390896,17.773772284196255,2.9221891982139896,20.956496161959944,13.248016852974848,2.011315339893819,1.2455224347721923,79,6.827263856791335,1220,5,13.253293881441403,13.248016852974846
3747,16,-0.4231048551792832,0,497,11.268331793847855,0.5066387173467248,1.0763871444971858,56.36007034168158,13.099427370742943,1.8678156058247,2.8261895531397676,87,2.5403686506400986,1220,5,13.098259746449841,13.09942737074294
9403,23,-2.8045367330733315,4,361,15.386393524088854,7.163128642426808,11.21210719385437,2.692322492844846,12.970219125323895,,,96,,1696,8,12.975524389581516,12.970219125323892
1025,4,-0.2530025781868512,3,361,5.503045371510454,17.992343595169032,13.219821708423527,10.672855855596017,12.673040160860083,0.5763179992026278,1.6670336663368792,76,-0.1999658576976409,1020,1,12.665456119598389,12.673040160860081
7377,4,-0.08290030119441917,7,361,7.519051711091123,8.573907104160197,19.307730236471933,7.030733247092128,11.445561829379127,,,96,,1696,8,11.438102550915172,11.445561829379125
9396,5,-2.9746390100657636,4,361,12.989312815441108,5.096636247775081,13.284586692764467,1.9960343471014554,11.374497294398651,,,96,,1696,8,11.373504994668686,11.374497294398648
9391,11,-3.1447412870581952,4,361,11.403551731258752,6.547154947867158,12.183581958968476,2.2102768534840376,10.818901839096744,,,96,,1696,8,10.817966010948913,10.81890183909674
3743,28,1.107815637752605,0,497,11.551064390252462,9.925075208355556,-0.05700008146927258,7.298536380070354,10.166400199730548,2.011315339893819,1.6670336663368792,78,6.3230280532415435,1220,5,10.165530692859415,10.166400199730548
3748,16,-0.7633094091641472,0,497,10.014474192401341,10.620529379632584,1.2706820975200073,9.280279564109236,10.088875252479118,1.8678156058247,1.8777892821192224,84,1.0116254723866653,1220,5,10.088013625363633,10.088875252479118
7393,6,-0.7633094091641472,7,361,7.125684620441236,7.46118043011696,17.170485753220895,2.424519359866619,9.895062884350548,,,96,,1696,8,9.887761200999527,9.895062884350548
1023,4,-0.2530025781868512,5,361,3.892698844162481,10.342347711121773,16.976190800198076,6.06664196837051,9.533279797177212,0.5763179992026278,0.5605666834795763,68,-0.2552001683338372,1020,1,9.526014886019212,9.533279797177212
7371,4,0.5975088067753089,7,361,6.449584933386744,6.010661730024883,18.044813041823595,4.031338157735982,9.436373613112927,,,96,,1696,8,9.429118551649484,9.436373613112925
3724,16,-0.9334116861565792,6,458,8.096809625483143,9.825724612458842,5.804231001385841,5.959520715179218,9.333007016777689,1.8678156058247,1.4562780505545359,81,0.27041665868803094,1130,1,9.325762461655106,9.333007016777687
1249,28,0.7676110837677409,8,21,10.788915652118304,8.136764482214643,0.16967736372401912,6.816490740709546,9.17149671000388,1.365566536582783,2.8788784570853534,31,15.23535133718522,729,5,9.170728326663545,9.171496710003877
7416,5,-1.4437185171338753,7,361,6.916708353533483,9.726374016562122,9.85204252269462,2.9065649992274274,9.113352999565306,,,96,,1696,8,9.112590526041707,9.113352999565306
1243,18,1.4480201917374689,8,21,7.08880645569281,11.355723789268293,0.9144746836448346,12.493917159847962,9.106892587294354,,,96,,1696,8,9.106130770417058,9.106892587294354
1242,28,0.5975088067753089,8,21,11.600235276583696,7.024037808171403,0.10491237938307862,5.7988388353922815,9.09397176275245,1.2938166695482234,3.30038968865004,60,2.3016138885352504,1514,5,9.09967101479241,9.093971762752448
7401,2,1.107815637752605,7,361,6.166852336982138,8.037413886317923,13.83508905966246,3.9242169045446915,9.087511350481497,,,96,,1696,8,9.086751503543113,9.087511350481495
1244,17,0.937713360760173,8,21,5.810363411080678,11.097412239936828,1.8535669565884718,12.708159666230545,8.564217956534351,1.0068172014099852,-0.28245577964979723,50,1.3537218479398814,1514,5,8.563511297946585,8.564217956534351
1244,28,0.937713360760173,8,21,9.817790647076398,8.136764482214643,-0.02461758929880231,5.745278208796638,8.486693009282924,1.0068172014099852,2.4573672255206667,45,3.730578957252329,1514,5,8.49245398607545,8.486693009282922
1248,28,0.42740652978287685,8,21,10.14969412981224,6.845206735557311,0.007764902871667912,6.602248234326964,8.357484763863875,1.7960657387901404,3.8799676320514846,60,4.518113321807128,728,5,8.35679911795783,8.357484763863875
1249,17,0.7676110837677409,8,21,6.486463098135171,11.097412239936828,1.3354470818609478,8.155506405600683,8.260578579799589,1.365566536582783,0.6659444913707481,29,9.036636282239188,729,5,8.266362539212754,8.260578579799589
3741,16,-0.9334116861565792,0,497,8.26890772764247,8.673257700056917,0.7201797306220132,6.709369487518255,8.118449509838635,2.011315339893819,1.5616558584457074,82,0.8940298432902475,363,5,8.117788159845839,8.118449509838635
9479,26,0.2573042527904449,2,361,7.814077029078538,4.778714340905584,8.36244788285299,5.1561113162445364,7.9504787907938725,1.7243158717555809,2.8788784570853534,86,2.6722182953845675,576,7,7.9498345136049755,7.9504787907938725
5610,2,0.7676110837677409,6,361,5.859534297411914,7.699621860269082,8.4595953593644,4.620505050288082,7.83419136991673,1.1503169354791043,2.4573672255206667,79,0.8370137806980448,1211,1,7.827099156736654,7.834191369916729
1242,17,0.5975088067753089,8,21,7.0396355693615735,8.395076031546106,1.3030645896904776,9.333840190704882,7.814810133103873,1.365566536582783,1.6670336663368792,61,1.6601831843729704,1514,5,7.814179645487356,7.8148101331038715
3743,18,1.277917914745037,0,497,4.544213088051356,12.24987915233875,0.9792396679857752,10.2979314694265,7.801889308561967,2.011315339893819,2.0885448979015657,80,4.876245464964401,1220,5,7.80771988986271,7.801889308561967
359,4,-0.2530025781868512,9,361,2.749475736961248,6.567025067046503,17.008573292368546,4.3527019173098545,7.491789519556252,1.2220668025136638,1.6143447623912932,84,0.14213051785557498,1020,1,7.49765161987958,7.491789519556251
3923,28,0.08720197579801285,8,325,9.473594442757747,5.295337439568516,0.16967736372401912,6.227323848157446,7.485329107285299,1.7960657387901404,3.1423229768132828,75,7.016129564128007,258,5,7.4847321086302845,7.485329107285299
9385,10,-1.7839230711187393,4,361,8.170565954979997,5.37481791628589,5.933760970067722,0.9783824417841921,7.3367396250533945,,,96,,1696,8,7.342617484888016,7.336739625053394
7380,4,0.42740652978287685,0,361,5.011336508198095,5.096636247775081,12.57217186501412,3.8170956513534002,7.259214677801965,,,96,,1696,8,7.258640661767585,7.259214677801965
7385,2,1.277917914745037,7,361,5.023629229780904,6.646505543763876,9.78727753835368,3.7099743981621094,7.2010709673633935,,,96,,1696,8,7.200502861145749,7.201070967363393
3725,16,-0.4231048551792832,6,458,3.3764045376845044,-0.2682959306476729,3.3107791042596326,40.077639856605366,7.188150142821489,1.4373164036173425,2.5100561294662525,82,0.19558307653576498,1130,1,7.181123594271802,7.188150142821488
9393,26,0.08720197579801285,4,361,7.125684620441236,6.368323875253067,3.6346040259643346,3.7099743981621094,6.987877362421964,2.011315339893819,2.4573672255206667,86,3.5363679940476387,1020,1,6.987330925532348,6.987877362421964
9397,5,-2.4643321790884674,1,361,7.248611836269326,3.765338262759064,8.4595953593644,1.2997462013580645,6.878050353815773,,,96,,1696,8,6.877515079913322,6.878050353815772
3742,28,0.2573042527904449,0,497,7.986175131237863,5.811960538231447,0.20205985589448938,5.263232569435828,6.768223345209583,2.083065206928379,3.1423229768132828,76,4.96889656667673,1220,5,6.76123947866965,6.768223345209582
3721,15,-1.6138207941263074,6,458,4.617969417548209,7.401570072578931,7.973857976807347,2.53164061305791,6.729460871583868,1.9395654728592595,-0.5459002993777264,84,-0.04317168556908361,1130,1,6.728940700546408,6.729460871583867
9383,2,0.7676110837677409,4,361,5.687436195252587,5.672869703976043,6.678558289988537,3.9242169045446915,6.639015099790535,1.509066270651902,2.931567361030939,81,1.351940095983875,1020,1,6.638504121801327,6.639015099790534
3727,17,0.5975088067753089,6,458,3.31494092977046,9.289231394616568,2.3716868313159956,11.047780241765535,6.567950564810057,1.0785670684445448,2.931567361030939,72,1.6922547195810844,1130,1,6.567446809930195,6.567950564810057
